,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,index,beta
648,-0.1,0.1,0.43533051884443297,1,2,1.2,2.8307060315284773,0.3,1,0.532,1.2,649,trial 649,-0.04901119563357245
649,-0.1,0.1,0.4896099301776342,1,2,1.2,2.4799321394720764,0.3,1,0.6920000000000001,1.2,650,trial 650,-0.06498252996342785
650,-0.1,0.1,0.4512086000497185,1,2,1.2,3.781396705743712,0.3,1,0.525,1.2,651,trial 651,-0.06787912802565316
651,-0.1,0.1,0.435087475737366,1,2,1.2,2.470036053153252,0.3,1,0.459,1.2,652,trial 652,-0.024530596507276934
652,-0.1,0.1,0.4060438245233441,1,2,1.2,1.6268880338921152,0.3,1,0.374,1.2,653,trial 653,-0.020324932158464332
653,-0.1,0.1,0.4020496509517608,1,2,1.2,-0.12414180122147878,0.3,1,0.76,1.2,654,trial 654,-0.07221682091508264
654,-0.1,0.1,0.4792196725136447,1,2,1.2,3.0547052928224376,0.3,1,0.436,1.2,655,trial 655,-0.06240581892244119
655,-0.1,0.1,0.4120256993222231,1,2,1.2,1.4629057918037345,0.3,1,0.48100000000000004,1.2,656,trial 656,-0.05537730176168547
656,-0.1,0.1,0.528139231760432,1,2,1.2,4.3268736593675765,0.3,1,0.527,1.2,657,trial 657,-0.05808116586344029
657,-0.1,0.1,0.5266930846448274,1,2,1.2,2.0221952068464923,0.3,1,0.529,1.2,658,trial 658,-0.028436274966845445
658,-0.1,0.1,0.384332275572955,1,2,1.2,3.045951907881183,0.3,1,0.37200000000000005,1.2,659,trial 659,-0.07187667166904835
659,-0.1,0.1,0.5003783620337311,1,2,1.2,0.6648649579620332,0.3,1,0.609,1.2,660,trial 660,-0.05021280006193433
660,-0.1,0.1,0.4571093935282503,1,2,1.2,3.4429644347720285,0.3,1,0.423,1.2,661,trial 661,-0.06566619559450247
661,-0.1,0.1,0.4679415383702666,0,2,1.2,-0.8713510026242535,0.3,1,0.764,1.2,662,trial 662,0.040451893226802337
662,-0.1,0.1,0.4261237161147858,1,2,1.2,1.645035459231689,0.3,1,0.496,1.2,663,trial 663,-0.030664055167291586
663,-0.1,0.1,0.4277057034945676,1,2,1.2,1.0359410831824234,0.3,1,1.03,1.2,664,trial 664,-0.07257993324060133
664,-0.1,0.1,0.4655342592853696,1,2,1.2,1.8142632062598671,0.3,1,0.5509999999999999,1.2,665,trial 665,-0.03354850911149584
665,-0.1,0.1,0.4662836840551674,1,2,1.2,5.340590919481169,0.3,1,0.521,1.2,666,trial 666,-0.03944111879128624
666,-0.1,0.1,0.4682304008486173,1,2,1.2,0.5913773056337928,0.3,1,0.419,1.2,667,trial 667,-0.03282087883211548
667,-0.1,0.1,0.4657056981210355,1,2,1.2,1.3810494371909865,0.3,1,0.7140000000000001,1.2,668,trial 668,-0.061651982104387146
668,-0.1,0.1,0.5753697010554001,1,2,1.2,0.9508947223891379,0.3,1,0.647,1.2,669,trial 669,-0.031512120967641916
669,-0.1,0.1,0.4462967436124266,1,2,1.2,1.7895289255449356,0.3,1,0.7979999999999999,1.2,670,trial 670,-0.06968086442739
670,-0.1,0.1,0.4598276604301661,0,2,1.2,0.6121373013684912,0.3,1,0.947,1.2,671,trial 671,0.031945310207504185
671,-0.1,0.1,0.4708956706366759,1,2,1.2,1.6352356020062162,0.3,1,0.667,1.2,672,trial 672,-0.0006409959689350122
672,-0.1,0.1,0.4463976329573029,1,2,1.2,2.0667185965354213,0.3,1,0.51,1.2,673,trial 673,-0.07113442386688495
673,-0.1,0.1,0.5147795560039489,1,2,1.2,2.6988825302239148,0.3,1,0.462,1.2,674,trial 674,-0.03768840410674606
674,-0.1,0.1,0.5332202063663365,1,2,1.2,1.280687260917154,0.3,1,0.408,1.2,675,trial 675,-0.05422093985772658
675,-0.1,0.1,0.4176186752689941,1,2,1.2,2.7418358844234563,0.3,1,0.366,1.2,676,trial 676,-0.04338302780758975
676,-0.1,0.1,0.4676273883555797,0,2,1.2,-0.8072013063061307,0.3,1,0.6739999999999999,1.2,677,trial 677,0.035441931088220566
677,-0.1,0.1,0.4315773291031164,0,2,1.2,-0.35660924966837904,0.3,1,0.593,1.2,678,trial 678,0.03359690265607729
678,-0.1,0.1,0.4635776074538948,1,2,1.2,1.9431027513683992,0.3,1,0.537,1.2,679,trial 679,-0.03294628609073154
679,-0.1,0.1,0.5253575080061015,1,2,1.2,0.9323738472089484,0.3,1,0.6719999999999999,1.2,680,trial 680,-0.07551836389542892
680,-0.1,0.1,0.5419914864944627,1,2,1.2,2.6756361981065635,0.3,1,0.457,1.2,681,trial 681,-0.034341036486563316
681,-0.1,0.1,0.5059537824462351,1,2,1.2,1.1112369523411183,0.3,1,0.37,1.2,682,trial 682,-0.060867242608385295
682,-0.1,0.1,0.4543484067950012,1,2,1.2,2.995330723079116,0.3,1,0.473,1.2,683,trial 683,-0.07453543440311705
683,-0.1,0.1,0.5511113453544515,1,2,1.2,2.5129677259084158,0.3,1,0.454,1.2,684,trial 684,-0.035145840051274094
684,-0.1,0.1,0.4104002104927543,1,2,1.2,2.0112330968248706,0.3,1,0.493,1.2,685,trial 685,-0.029799258422720527
685,-0.1,0.1,0.4560770790541315,0,2,1.2,1.3613746604364247,0.3,1,0.442,1.2,686,trial 686,0.020511199060406937
686,-0.1,0.1,0.4934322692914276,1,2,1.2,1.8926013075897872,0.3,1,0.518,1.2,687,trial 687,-0.03395782147030596
687,-0.1,0.1,0.44020780671670456,1,2,1.2,1.4444771295493637,0.3,1,0.458,1.2,688,trial 688,-0.02536307080298536
688,-0.1,0.1,0.4145952844138967,1,2,1.2,2.1233549047610576,0.3,1,0.382,1.2,689,trial 689,-0.025474287426621715
689,-0.1,0.1,0.4593134698314361,1,2,1.2,1.1437611140248531,0.3,1,0.466,1.2,690,trial 690,-0.05112606017611465
690,-0.1,0.1,0.4942811419498008,1,2,1.2,2.671644435921142,0.3,1,0.5569999999999999,1.2,691,trial 691,-0.049289304337904224
691,-0.1,0.1,0.4356968960272701,1,2,1.2,3.16226330008129,0.3,1,0.5840000000000001,1.2,692,trial 692,-0.055899922531589735
692,-0.1,0.1,0.5125237645134746,1,2,1.2,2.411218313909296,0.3,1,0.458,1.2,693,trial 693,-0.014047948650849127
693,-0.1,0.1,0.4225308862055912,1,2,1.2,4.225190025031553,0.3,1,0.39,1.2,694,trial 694,-0.03334153495964337
694,-0.1,0.1,0.4697444118985426,1,2,1.2,2.4067014082875,0.3,1,0.6619999999999999,1.2,695,trial 695,-0.022445631308945314
695,-0.1,0.1,0.4960588845464215,1,2,1.2,2.649762317736976,0.3,1,0.458,1.2,696,trial 696,-0.0361901082772799
696,-0.1,0.1,0.476283809718537,1,2,1.2,-0.4124068285635074,0.3,1,0.413,1.2,697,trial 697,-0.0711790220788717
697,-0.1,0.1,0.4804912258352549,1,2,1.2,0.9347295513513664,0.3,1,1.415,1.2,698,trial 698,-0.03816153996518533
698,-0.1,0.1,0.49071924898641994,1,2,1.2,1.0822766603339755,0.3,1,0.6839999999999999,1.2,699,trial 699,-0.05112913493099282
699,-0.1,0.1,0.4658429709714284,1,2,1.2,0.985056580279238,0.3,1,0.708,1.2,700,trial 700,-0.035113256351418716
700,-0.1,0.1,0.4921858623289458,1,2,1.2,0.5231225742175569,0.3,1,0.53,1.2,701,trial 701,-0.05937470564087091
701,-0.1,0.1,0.5157871451465527,1,2,1.2,1.7527253131249492,0.3,1,0.48,1.2,702,trial 702,-0.05246025687355791
702,-0.1,0.1,0.3843464025823072,1,2,1.2,5.268199483748287,0.3,1,0.435,1.2,703,trial 703,-0.02328772186219623
703,-0.1,0.1,0.43711555164380894,1,2,1.2,2.1581795307404104,0.3,1,0.465,1.2,704,trial 704,-0.07411960383747151
704,-0.1,0.1,0.5258262931408527,1,2,1.2,3.0733573301402597,0.3,1,0.389,1.2,705,trial 705,-0.05893387716469185
705,-0.1,0.1,0.4431307113592055,1,2,1.2,1.5516966761452815,0.3,1,0.631,1.2,706,trial 706,-0.034788875308581796
706,-0.1,0.1,0.46825039977488503,1,2,1.2,3.4663042691306902,0.3,1,0.39899999999999997,1.2,707,trial 707,-0.05831419646994272
707,-0.1,0.1,0.5555523588570688,0,2,1.2,1.2085319524835472,0.3,1,0.759,1.2,708,trial 708,-0.012776779295493161
