,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,onset
406,-0.1,0.1,0.4520989001157144,0,2,1.2,2.705404977161088,0.3,1,0.363,1.2,407,4070
407,-0.1,0.1,0.5204691693822109,1,2,1.2,2.649833889729762,0.3,1,0.429,1.2,408,4080
408,-0.1,0.1,0.4795714692131535,1,2,1.2,2.3555098606058085,0.3,1,0.41,1.2,409,4090
409,-0.1,0.1,0.4972262473218218,1,2,1.2,-0.03566993381469441,0.3,1,0.35,1.2,410,4100
410,-0.1,0.1,0.4980136878734853,0,2,1.2,1.0877957757262435,0.3,1,0.991,1.2,411,4110
411,-0.1,0.1,0.4505329183110083,0,2,1.2,1.6712402764651497,0.3,1,0.539,1.2,412,4120
412,-0.1,0.1,0.4532198709798116,1,2,1.2,1.5484026245896965,0.3,1,0.45,1.2,413,4130
413,-0.1,0.1,0.5190366236427545,1,2,1.2,2.154424566938245,0.3,1,0.38799999999999996,1.2,414,4140
414,-0.1,0.1,0.3777827927689966,1,2,1.2,2.7125861400352167,0.3,1,0.777,1.2,415,4150
415,-0.1,0.1,0.4265137544945699,1,2,1.2,1.996041433659108,0.3,1,0.825,1.2,416,4160
416,-0.1,0.1,0.4838496783322361,1,2,1.2,3.479380977837234,0.3,1,0.41200000000000003,1.2,417,4170
417,-0.1,0.1,0.4342249177192266,1,2,1.2,2.6271633797981604,0.3,1,0.579,1.2,418,4180
418,-0.1,0.1,0.4521072702880564,1,2,1.2,2.235875723032145,0.3,1,0.392,1.2,419,4190
419,-0.1,0.1,0.4466002747098904,0,2,1.2,1.2876613520724924,0.3,1,0.5329999999999999,1.2,420,4200
420,-0.1,0.1,0.3868730329432565,1,2,1.2,2.769189251232158,0.3,1,0.397,1.2,421,4210
421,-0.1,0.1,0.4857152598332367,1,2,1.2,4.048503581497714,0.3,1,0.39399999999999996,1.2,422,4220
422,-0.1,0.1,0.4583727523996535,1,2,1.2,2.9620632842734156,0.3,1,0.453,1.2,423,4230
423,-0.1,0.1,0.5396190905990346,1,2,1.2,1.3015580072878403,0.3,1,1.078,1.2,424,4240
424,-0.1,0.1,0.5008847659699255,1,2,1.2,1.7565368836588309,0.3,1,0.435,1.2,425,4250
425,-0.1,0.1,0.4064073704018028,1,2,1.2,1.158175840505523,0.3,1,0.638,1.2,426,4260
426,-0.1,0.1,0.4016081045965888,1,2,1.2,1.7659631950915389,0.3,1,0.52,1.2,427,4270
427,-0.1,0.1,0.4907049461275291,1,2,1.2,2.407125850792818,0.3,1,0.35200000000000004,1.2,428,4280
428,-0.1,0.1,0.5055860941905042,0,2,1.2,1.008141094055483,0.3,1,0.573,1.2,429,4290
429,-0.1,0.1,0.4233159944509518,1,2,1.2,1.6872505341656134,0.3,1,0.515,1.2,430,4300
430,-0.1,0.1,0.5326331921042118,0,2,1.2,0.7375920160457117,0.3,1,0.639,1.2,431,4310
431,-0.1,0.1,0.39038835557728,1,2,1.2,1.7858574400878,0.3,1,0.753,1.2,432,4320
432,-0.1,0.1,0.5042861081027631,1,2,1.2,3.1429289022384337,0.3,1,0.451,1.2,433,4330
433,-0.1,0.1,0.41259755782445057,1,2,1.2,1.794331281401398,0.3,1,0.665,1.2,434,4340
434,-0.1,0.1,0.4184125479270011,1,2,1.2,1.925943917150088,0.3,1,0.5770000000000001,1.2,435,4350
435,-0.1,0.1,0.4870465630440663,1,2,1.2,3.3738292569413364,0.3,1,0.5529999999999999,1.2,436,4360
436,-0.1,0.1,0.4971813211197652,1,2,1.2,1.8830434307542336,0.3,1,0.506,1.2,437,4370
437,-0.1,0.1,0.4627550426833415,1,2,1.2,1.0186860972827758,0.3,1,0.494,1.2,438,4380
438,-0.1,0.1,0.4245517694654807,0,2,1.2,0.2947042564810054,0.3,1,0.687,1.2,439,4390
439,-0.1,0.1,0.4691597874193413,1,2,1.2,3.5712096785329184,0.3,1,0.575,1.2,440,4400
440,-0.1,0.1,0.4306366133151981,0,2,1.2,1.3557463760942805,0.3,1,0.43700000000000006,1.2,441,4410
441,-0.1,0.1,0.4098302575871913,1,2,1.2,3.77578706451223,0.3,1,0.458,1.2,442,4420
442,-0.1,0.1,0.4897822039058927,0,2,1.2,-0.32231759860879183,0.3,1,0.529,1.2,443,4430
443,-0.1,0.1,0.4574737993869998,1,2,1.2,0.0324866583666219,0.3,1,1.2109999999999999,1.2,444,4440
444,-0.1,0.1,0.4040530705669716,1,2,1.2,1.868267225956988,0.3,1,0.8490000000000001,1.2,445,4450
445,-0.1,0.1,0.4607966246328784,1,2,1.2,4.38247771627908,0.3,1,0.364,1.2,446,4460
446,-0.1,0.1,0.4610143014615909,0,2,1.2,0.32428326181622125,0.3,1,0.506,1.2,447,4470
447,-0.1,0.1,0.5013315541808699,1,2,1.2,2.631870699430194,0.3,1,0.386,1.2,448,4480
448,-0.1,0.1,0.4864087404573685,1,2,1.2,1.9872455921649703,0.3,1,0.91,1.2,449,4490
449,-0.1,0.1,0.4568566219325646,1,2,1.2,3.939245830334572,0.3,1,0.442,1.2,450,4500
450,-0.1,0.1,0.4457915941943827,1,2,1.2,3.0936639754187483,0.3,1,0.433,1.2,451,4510
451,-0.1,0.1,0.4626850138522657,1,2,1.2,2.7740162122540135,0.3,1,0.532,1.2,452,4520
452,-0.1,0.1,0.4429152332926544,0,2,1.2,0.4646317215152325,0.3,1,0.659,1.2,453,4530
453,-0.1,0.1,0.4853638337944314,1,2,1.2,1.7580429149601982,0.3,1,0.8640000000000001,1.2,454,4540
454,-0.1,0.1,0.5115821325871835,1,2,1.2,0.787921694213797,0.3,1,0.7659999999999999,1.2,455,4550
455,-0.1,0.1,0.4567929374204028,0,2,1.2,1.5735217101803534,0.3,1,0.503,1.2,456,4560
456,-0.1,0.1,0.4521414913072449,1,2,1.2,4.936503990631613,0.3,1,0.43700000000000006,1.2,457,4570
457,-0.1,0.1,0.4882876092031391,1,2,1.2,2.6827907297579445,0.3,1,0.5670000000000001,1.2,458,4580
458,-0.1,0.1,0.495049267707249,0,2,1.2,1.643262398929653,0.3,1,0.365,1.2,459,4590
459,-0.1,0.1,0.4492077724578742,0,2,1.2,0.9970368822288144,0.3,1,0.8779999999999999,1.2,460,4600
460,-0.1,0.1,0.4791135751520481,1,2,1.2,0.5444622401127344,0.3,1,0.76,1.2,461,4610
461,-0.1,0.1,0.5693641250004278,0,2,1.2,-2.4793202041716795,0.3,1,0.462,1.2,462,4620
462,-0.1,0.1,0.4699303844306727,1,2,1.2,3.0262008463890133,0.3,1,0.379,1.2,463,4630
